# Dénomination en français;Designation in English;Denominación en español;Dénomination abrégée en français;Short designation in English;Denominación abreviada en español;Administrative Region;comment;Date of Entry;Language
République kirghize;Kyrgyz Republic;República Kirguisa;Kirghizistan;Kyrgyzstan;Kirguistán;C;KGZ;20.01.1994;E
Lao (République démocratique populaire);Lao People's Democratic Republic;Lao (República Democrática Popular);Lao (R.d.p.);Lao P.D.R.;Lao (R.D.P.);E;LAO;03.04.1952;E
Lettonie (République de);Latvia (Republic of);Letonia (República de);Lettonie;Latvia;Letonia;B;LVA;11.11.1991;E
Liban;Lebanon;Líbano;Liban;Lebanon;Líbano;E;LBN;12.01.1924;F
Lesotho (Royaume du);Lesotho (Kingdom of);Lesotho (Reino de);Lesotho;Lesotho;Lesotho;D;LSO;26.05.1967;E
Libéria (République du);Liberia (Republic of);Liberia (República de);Libéria;Liberia;Liberia;D;LBR;10.10.1927;E
Liechtenstein (Principauté de);Liechtenstein (Principality of);Liechtenstein (Principado de);Liechtenstein;Liechtenstein;Liechtenstein;B;LIE;25.07.1963;E
Lituanie (République de);Lithuania (Republic of);Lituania (República de);Lituanie;Lithuania;Lituania;B;LTU;12.10.1991;E
Luxembourg;Luxembourg;Luxemburgo;Luxembourg;Luxembourg;Luxemburgo;B;LUX;02.03.1866;F
Madagascar (République de);Madagascar (Republic of);Madagascar (República de);Madagascar;Madagascar;Madagascar;D;MDG;11.05.1961;F
Malawi;Malawi;Malawi;Malawi;Malawi;Malawi;D;MWI;19.02.1965;E
Malaisie;Malaysia;Malasia;Malaisie;Malaysia;Malasia;E;MLA;03.02.1958;E
Maldives (République des);Maldives (Republic of);Maldivas (República de);Maldives;Maldives;Maldivas;E;MLD;28.02.1967;E
Mali (République du);Mali (Republic of);Malí (República de);Mali;Mali;Malí;D;MLI;21.10.1960;F
Malte;Malta;Malta;Malte;Malta;Malta;B;MLT;01.01.1965;E
Marshall (République des Iles);Marshall Islands (Republic of the);Marshall (República de las Islas);Marshall (Iles);Marshall Islands;Marshall (Islas);E;MHL;22.02.1996;E
Mauritanie (République islamique de);Mauritania (Islamic Republic of);Mauritania (República Islámica de);Mauritanie;Mauritania;Mauritania;D;MTN;18.04.1962;F
Maurice (République de);Mauritius (Republic of);Mauricio (República de);Maurice;Mauritius;Mauricio;D;MAU;30.08.1969;E
Mexique;Mexico;México;Mexique;Mexico;México;A;MEX;01.07.1908;S
Micronésie (Etats fédérés de);Micronesia (Federated States of);Micronesia (Estados federados de);Micronésie;Micronesia;Micronesia;E;FSM;18.03.1993;E
Moldova (République de);Moldova (Republic of);Moldova (República de);Moldova;Moldova;Moldova;C;MDA;20.10.1992;E
Monaco (Principauté de);Monaco (Principality of);Mónaco (Principado de);Monaco;Monaco;Mónaco;B;MCO;01.07.1908;F
Mongolie;Mongolia;Mongolia;Mongolie;Mongolia;Mongolia;E;MNG;27.08.1964;E
Maroc (Royaume du);Morocco (Kingdom of);Marruecos (Reino de);Maroc;Morocco;Marruecos;D;MRC;01.11.1956;F
Mozambique (République du);Mozambique (Republic of);Mozambique (República de);Mozambique;Mozambique;Mozambique;D;MOZ;04.11.1975;E
Myanmar (Union de);Myanmar (Union of);Myanmar (Unión de);Myanmar;Myanmar;Myanmar;E;BRM;15.09.1937;E
Namibie (République de);Namibia (Republic of);Namibia (República de);Namibie;Namibia;Namibia;D;NMB;25.01.1984;E
Nauru (République de);Nauru (Republic of);Nauru (República de);Nauru;Nauru;Nauru;E;NRU;10.06.1969;E
Népal;Nepal;Nepal;Népal;Nepal;Nepal;E;NPL;05.12.1957;E
